Lemma	Semantiskâ_kat_1	Kandidâts	Semantiskâ_kat_2	Paskaidrojums	Bieþums	Tips	Grupa	Manuâla pârbaude		Kopâ	
veikt	Darît	veikums	Rezultâts	darbîbas vârda 'veikt' atvasinâjums ar izskaòu '-ums'	8126	T	V	T		Derîgi derivâti	27
veikt	Darît	veice	Rezultâts	darbîbas vârda 'veikt' atvasinâjums, nomainot saknes galotni 'k' ar 'c' un pievienojot galotni 'e'	24	T	V	T		Nederîgi derivâti	19
veikt	Darît	veikme	Rezultâts	darbîbas vârda 'veikt' atvasinâjums ar izskaòu '-me'	6	T	V	F		Precizitâte	0,587
zvaigzne	Priekðmets	zvaigþòots	Ietver nosaukto	Galotnes maiòa '-e' -> '-ots' un lîdzskaòu mija 'zn' -> 'þò'.	1110	T	V	T			
zvaigzne	Priekðmets	zvaigþòains	Ietver nosaukto	Galotnes maiòa '-e' -> '-ains' un lîdzskaòu mija 'zn' -> 'þò'.	7	T	V	T		V	
pûst	Bût procesâ	pûðana	Process	infinitîva celms + piedçklis -ðan- + galotne -a	974	T	V	T		Derîgi derivâti	11
pûst	Bût procesâ	pûsma	Process	sakne + patskaòa iespraudums + piedçklis -sm- + galotne -a	235	T	V	F		Nederîgi derivâti	4
pûst	Bût procesâ	pûðanâs	Process	infinitîva celms + piedçklis -ðan- + atgriezeniskâ galotne -âs	212	T	V	D		Precizitâte	0,733
riebt	Bût stâvoklî	rieba	Stâvoklis	Nenotiek nekâdas morfoloìiskas izmaiòas, izòemot gramatiskâs dzimtes maiòa uz sievieðu dzimti	34	T	V	F			
riebt	Bût stâvoklî	riebums	Stâvoklis	Celma beigâm pievieno izskaòu '-ums'	1998	T	V	T		I	
riebt	Bût stâvoklî	riebðana	Stâvoklis	Infinitîva beigâm pievieno izskaòu '-ðana'	8	T	V	T		Derîgi derivâti	3
riebt	Bût stâvoklî	riebîgums	Stâvoklis	Celma beigâm pievieno piedçkli '-îg-' un izskaòu '-ums'	33	T	V	T		Nederîgi derivâti	4
medicîna	Abstrakts nojçgums	medicînisks	Saistîts ar nosaukto	lietvârda 'medicîna' atvasinâjums, kur atmesta lietvârda galotne '-a' un pievienota izskaòa '-isks'	16946	T	V	T		Precizitâte	0,429
skriet	Darît	skrçjçjs	Darîtâjs (dzîvs)	Verba 3. personas celma forma ('skrie-' ? 'skrçj-') + atvasinâtâjpiedçklis '-çj-' + galotne '-s'.	7774	T	V	T			
skriet	Darît	skrieðs	Darîtâjs (dzîvs)	Verba nenoteiksmes celms ('skrie-') + atvasinâtâjpiedçklis '-ð-' + galotne '-s'.	0	F	V	F		J	
ideja	Abstrakts nojçgums	idejisks	Saistîts ar nosaukto	No lemmas 'ideja' atvasina îpaðîbas vârdu, nomainot galotni '-a' ar izskaòu '-isks'.	1323	T	V	T		Derîgi derivâti	7
