Lemma	Semantisk?_kat_1	Kandid?ts	Semantisk?_kat_2	Paskaidrojums	Bie?ums	Tips	Grupa	Manu?la p?rbaude		Kop?	
veikt	Dar?t	veikums	Rezult?ts	at?em infinit?vam galotni -t un pievieno rezult?ta sufiksu -ums	8126	T	V	T		Der?gi deriv?ti	29
veikt	Dar?t	veiksme	Rezult?ts	at?em infinit?vam galotni -t, papla?ina k?ks un pievieno sufiksu -sme	28480	T	V	F		Neder?gi deriv?ti	11
zvaigzne	Priek?mets	zvaig??ots	Ietver nosaukto	sakne zvaigzn- asimil?jas par zvaig??- un pievieno sufiksu -ots	1110	T	V	T		Precizit?te	0,725
zvaigzne	Priek?mets	zvaig??ains	Ietver nosaukto	sakne zvaigzn- asimil?jas par zvaig??- un pievieno sufiksu -ains	7	T	V	T			
p?st	B?t proces?	p??ana	Process	Atmet infinit?va galotni -t un pievieno sufiksu -?ana, t? izveidojot procesa lietv?rdu	974	T	V	T		V	
p?st	B?t proces?	sap??ana	Process	Verbam pievieno pried?kli sa-, atmet galotni -t un pievieno sufiksu -?ana, ieg?stot procesa nosaukumu	71	T	V	T		Der?gi deriv?ti	10
riebt	B?t st?vokl?	riebums	St?voklis	saknei rieb- pievieno sufiksu -ums un ieg?st 4. deklin?cijas lietv?rdu st?vok?a noz?m?	1998	T	V	T		Neder?gi deriv?ti	3
riebt	B?t st?vokl?	rieb?gums	St?voklis	saknei rieb- pievieno sufiksus -?g- un -ums, veidojot 4. deklin?cijas lietv?rdu st?vok?a noz?m?	33	T	V	T		Precizit?te	0,769
riebt	B?t st?vokl?	rieb?ba	St?voklis	saknei rieb- pievieno sufiksu -?b- un galotni -a, radot 5. deklin?cijas lietv?rdu st?vok?a noz?m?	0	F	V	F			
medic?na	Abstrakts noj?gums	medic?nisks	Saist?ts ar nosaukto	Nominales galotne -a tiek nomesta un pievienots sufikss -isk- ar galotni -s, veidojot ?pa??bas v?rdu saist?tu ar medic?nu	16946	T	V	T		I	
skriet	Dar?t	skr?j?js	Dar?t?js (dz?vs)	pag?tnes celms skr?j- + a?enta sufikss -?js (infinit?va galotnes -t nomai?a)	7774	T	V	T		Der?gi deriv?ti	5
skriet	Dar?t	skr?j?ja	Dar?t?js (dz?vs)	pag?tnes celms skr?j- + a?enta sufikss -?ja sievie?u dzimtei (infinit?va galotnes -t nomai?a)	874	T	V	D		Neder?gi deriv?ti	2
ideja	Abstrakts noj?gums	idejisks	Saist?ts ar nosaukto	atmesta galotne -a un pievienots sufikss -isks ?pa??bas v?rdam	1323	T	V	T		Precizit?te	0,714
ideja	Abstrakts noj?gums	idejains	Saist?ts ar nosaukto	atmesta galotne -a un pievienots sufikss -ains ?pa??bas v?rdam	0	F	V	F			
nest	Dar?t	ne?ana	Darb?ba	no?em infinit?va galotni -t un pievieno sufiksu -?ana, saknes s palataliz?jas par ?, veidojot darb?bas nosaukumu	1137	T	I	T		J	
iet	B?t proces?	ie?ana	Process	verbu pamatnei 'ie-' pievieno procesa sufiksu '-?ana'	5770	T	I	T		Der?gi deriv?ti	6
