Lemma;Word
aicināt;aicinājums
aizliegt;aizliegums
aizņemties;aizņēmums
aizsargāt;aizsardzība
apdrošināt;apdrošinājums
apgalvot;apgalvojums
apgūt;apguvums
apmeklēt;apmeklējums
apspriest;apspriedums
apsūdzēt;apsūdzība
apsveikt;apsveikums
atbrīvot;atbrīvojums
atgādināt;atgādinājums
atjaunot;atjaunojums
atklāt;atklājums
atklāt;atklāsme
atminēt;atminējums
attiecināt;attiecinājums
atvasināt;atvasinājums
atzīt;atzinība
atzīt;atzinums
atzīt;atziņa
atzīt;atzīšana
balsot;balsojums
braukt;braukums
brīdināt;brīdinājums
ceļot;ceļojums
darīt;darījums
dejot;deja
dejot;dejojums
domāt;doma
domāt;domājums
draudēt;draudas
draudēt;draudeklis
draudēt;draudi
draudēt;draudums
dzemdēt;dzemdības
dziedāt;dziedājums
dziedāt;dziesma
finansēt;finansējums
gleznot;glezna
gleznot;gleznojums
gudrot;gudrojums
identificēt;identificējums
iecerēt;iecere
iecerēt;iecerējums
iegūt;ieguve
iegūt;ieguvums
ielūgt;ielūgums
ierosināt;ierosinājums
ierosināt;ierosme
iesniegt;iesniegums
īstenot;īstenojums
izglītot;izglītība
izmantot;izmantojums
izmeklēt;izmeklējums
izpildīt;izpildījums
izskaidrot;izskaidrojums
jautāt;jautājiens
jautāt;jautājums
kaitēt;kaitējums
kliegt;kliedzamais
kliegt;kliega
kliegt;kliegoņa
kliegt;kliegums
lemt;lēmums
lietot;lietojums
līgt;līgums
lūgt;lūdzība
lūgt;lūgums
mācīt;mācība
maksāt;maksājums
mazgāt;mazgājums
mēģināt;mēģinājums
mēģināt;mēģināšana
miglot;miglojums
mitrināt;mitrinājums
modināt;modinājums
nodarīt;nodarījums
nosacīt;nosacījums
noteikt;noteikums
pakalpot;pakalpojums
pārdot;pārdeva
pārdot;pārdevums
pārkāpt;pārkāpums
pārvietot;pārvietojums
pasniegt;pasniegums
paziņot;paziņojums
pētīt;pētījums
piedāvāt;piedāvājums
pierādīt;pierādījums
pirkt;pirciens
pirkt;pirkums
plānot;plānojums
plānot;plāns
pūst;pūtiens
pūsties;pūšanās
rasēt;rasējums
ražot;ražojums
rediģēt;rediģējums
redzēt;redzējums
rīkot;rīkojums
risināt;risinājums
sadarboties;sadarbe
sadarboties;sadarbība
salīdzināt;salīdzinājums
samaksāt;samaksa
samazināt;samazinājums
skaidrot;skaidrojums
skatīt;skatiens
skatīt;skatījums
skolot;skolojums
skriet;skrējiens
slēpot;slēpojums
sniegt;sniegums
sodīt;sodība
šūt;šuve
šūt;šuvums
teikt;teiciens
teikt;teika
teikt;teiksma
teikt;teikšana
tikties;tikšanās
tīrīt;tīrījums
tulkot;tulkojums
turpināt;turpinājums
uzlabot;uzlabojums
uzskatīt;uzskatiens
uzstāties;uzstāšanās
uzsvērt;uzsvērums
uzteikt;uzteikums
uzvarēt;uzvara
vēlēt;vēlējums
vienoties;vienošanās
vingrot;vingrojums
ziņot;ziņojums
zvanīt;zvanoņa
zvanīt;zvans
